"id","timestamp","value","unit"
GIV,2021-11-15T00:00:00Z,1835584,Wh
GIV,2021-11-16T00:00:00Z,2054492,Wh
GIV,2021-11-17T00:00:00Z,1785340,Wh
GIV,2021-11-18T00:00:00Z,1648172,Wh
GIV,2021-11-19T00:00:00Z,1834356,Wh
GIV,2021-11-20T00:00:00Z,1299476,Wh
GIV,2021-11-21T00:00:00Z,793668,Wh
GIV,2021-11-22T00:00:00Z,1542840,Wh
GIV,2021-11-23T00:00:00Z,2081172,Wh
GIV,2021-11-24T00:00:00Z,1023604,Wh
GPI,2021-11-15T00:00:00Z,776310,Wh
GPI,2021-11-16T00:00:00Z,676880,Wh
GPI,2021-11-17T00:00:00Z,721370,Wh
GPI,2021-11-18T00:00:00Z,997940,Wh
GPI,2021-11-19T00:00:00Z,384690,Wh
GPI,2021-11-20T00:00:00Z,572810,Wh
GPI,2021-11-21T00:00:00Z,550440,Wh
GPI,2021-11-22T00:00:00Z,774930,Wh
GPI,2021-11-23T00:00:00Z,980820,Wh
GPI,2021-11-24T00:00:00Z,617120,Wh
HIT,2021-11-15T00:00:00Z,1238000,Wh
HIT,2021-11-16T00:00:00Z,571000,Wh
HIT,2021-11-17T00:00:00Z,956000,Wh
HIT,2021-11-18T00:00:00Z,784000,Wh
HIT,2021-11-19T00:00:00Z,630000,Wh
HIT,2021-11-20T00:00:00Z,275000,Wh
HIT,2021-11-21T00:00:00Z,991000,Wh
HIT,2021-11-22T00:00:00Z,996000,Wh
HIT,2021-11-23T00:00:00Z,793000,Wh
HIT,2021-11-24T00:00:00Z,637000,Wh
SCH,2021-11-15T00:00:00Z,766442,Wh
SCH,2021-11-16T00:00:00Z,868132,Wh
SCH,2021-11-17T00:00:00Z,755013,Wh
SCH,2021-11-18T00:00:00Z,769105,Wh
SCH,2021-11-19T00:00:00Z,524565,Wh
SCH,2021-11-20T00:00:00Z,612420,Wh
SCH,2021-11-21T00:00:00Z,356421,Wh
SCH,2021-11-22T00:00:00Z,532139,Wh
SCH,2021-11-23T00:00:00Z,515202,Wh
SCH,2021-11-23T00:00:00Z,0,Wh
TR2,2021-11-15T00:00:00Z,331187.5,Wh
TR2,2021-11-16T00:00:00Z,385625,Wh
TR2,2021-11-17T00:00:00Z,309000,Wh
TR2,2021-11-18T00:00:00Z,368437.5,Wh
TR2,2021-11-19T00:00:00Z,282406.2,Wh
TR2,2021-11-20T00:00:00Z,344656.3,Wh
TR2,2021-11-21T00:00:00Z,456281.2,Wh
TR2,2021-11-22T00:00:00Z,473093.8,Wh
TR2,2021-11-23T00:00:00Z,447468.7,Wh
TR3,2021-11-23T00:00:00Z,411375,Wh
TRB,2021-11-15T00:00:00Z,0,Wh
TRB,2021-11-16T00:00:00Z,676880,Wh
TRB,2021-11-17T00:00:00Z,721370,Wh
TRB,2021-11-18T00:00:00Z,997940,Wh
TRB,2021-11-19T00:00:00Z,384690,Wh
TRB,2021-11-20T00:00:00Z,572810,Wh
TRB,2021-11-21T00:00:00Z,550440,Wh
TRB,2021-11-22T00:00:00Z,774930,Wh
TRB,2021-11-23T00:00:00Z,980820,Wh
TRB,2021-11-24T00:00:00Z,480343.75,Wh
